TransactionNo,Items,DateTime,Daypart,DayType,User,Rating,overview
15,Scandinavian,2016-10-30 10:34:36,Morning,Weekend,Angelina,4,"Reflecting the flavors of Northern Europe, Scandinavian cakes often feature berries, nuts, and wholesome grains."
16,Bread,2016-10-30 10:37:08,Morning,Weekend,Derek,2,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
16,Medialuna,2016-10-30 10:37:08,Morning,Weekend,Gene,5,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed."
16,Coffee,2016-10-30 10:37:08,Morning,Weekend,Natasha,3,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
17,Hot chocolate,2016-10-30 10:38:04,Morning,Weekend,Sidney,0,"Though not a cake in the traditional sense, hot chocolate complements cakes well, offering a warm and indulgent beverage often topped with whipped cream or marshmallows."
18,Farm House,2016-10-30 10:41:56,Morning,Weekend,Aaron,1,"Rustic cakes reminiscent of farmhouse baking, featuring simple, wholesome ingredients like oats, nuts, and dried fruits."
19,Farm House,2016-10-30 10:43:08,Morning,Weekend,Gordon,3,"Rustic cakes reminiscent of farmhouse baking, featuring simple, wholesome ingredients like oats, nuts, and dried fruits."
19,Bread,2016-10-30 10:43:08,Morning,Weekend,Chris,2,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
20,Bread,2016-10-30 10:45:22,Morning,Weekend,Evelyn,5,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
20,Medialuna,2016-10-30 10:45:22,Morning,Weekend,James,1,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed."
21,Coffee,2016-10-30 10:49:29,Morning,Weekend,Annie,2,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
21,Coffee,2016-10-30 10:49:29,Morning,Weekend,Brandon,1,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
21,Medialuna,2016-10-30 10:49:29,Morning,Weekend,Clayton,1,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed."
21,Bread,2016-10-30 10:49:29,Morning,Weekend,Charlie,0,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
22,Jam,2016-10-30 10:52:15,Morning,Weekend,Glenn,5,"A sweet spread made from fruits, commonly used in cake fillings, adding fruity flavors and moisture."
23,Scandinavian,2016-10-30 10:53:49,Morning,Weekend,Lisa,1,"Reflecting the flavors of Northern Europe, Scandinavian cakes often feature berries, nuts, and wholesome grains."
23,Muffin,2016-10-30 10:53:49,Morning,Weekend,Max,3,"Individual-sized quick breads, often sweetened and flavored with fruits, nuts, or chocolate chips."
24,Bread,2016-10-30 10:54:33,Morning,Weekend,Katrina,4,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
25,Scandinavian,2016-10-30 10:55:22,Morning,Weekend,Carl,3,"Reflecting the flavors of Northern Europe, Scandinavian cakes often feature berries, nuts, and wholesome grains."
26,Fudge,2016-10-30 10:56:08,Morning,Weekend,Ruben,2,"Dense, sweet confections made from sugar, butter, and milk or cream, often flavored with chocolate or nuts."
27,Scandinavian,2016-10-30 11:02:19,Morning,Weekend,George,3,"Reflecting the flavors of Northern Europe, Scandinavian cakes often feature berries, nuts, and wholesome grains."
28,Coffee,2016-10-30 11:03:24,Morning,Weekend,Kimberly,5,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
28,Bread,2016-10-30 11:03:24,Morning,Weekend,Liz,1,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
29,Bread,2016-10-30 11:05:30,Morning,Weekend,Lindsay,3,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
29,Jam,2016-10-30 11:05:30,Morning,Weekend,Oscar,0,"A sweet spread made from fruits, commonly used in cake fillings, adding fruity flavors and moisture."
30,Bread,2016-10-30 11:07:19,Morning,Weekend,Caleb,4,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
31,Basket,2016-10-30 11:12:56,Morning,Weekend,Elijah,2,"Edible baskets made from cake or pastry dough, filled with fruits, creams, or other confections."
32,Scandinavian,2016-10-30 11:16:15,Morning,Weekend,Owen,0,"Reflecting the flavors of Northern Europe, Scandinavian cakes often feature berries, nuts, and wholesome grains."
32,Muffin,2016-10-30 11:16:15,Morning,Weekend,Allison,3,"Individual-sized quick breads, often sweetened and flavored with fruits, nuts, or chocolate chips."
33,Coffee,2016-10-30 11:22:49,Morning,Weekend,Jamie,0,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
34,Coffee,2016-10-30 11:25:45,Morning,Weekend,Tommy,0,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
34,Muffin,2016-10-30 11:25:45,Morning,Weekend,Leonard,0,"Individual-sized quick breads, often sweetened and flavored with fruits, nuts, or chocolate chips."
35,Muffin,2016-10-30 11:27:34,Morning,Weekend,Jackson,4,"Individual-sized quick breads, often sweetened and flavored with fruits, nuts, or chocolate chips."
35,Scandinavian,2016-10-30 11:27:34,Morning,Weekend,Amber,1,"Reflecting the flavors of Northern Europe, Scandinavian cakes often feature berries, nuts, and wholesome grains."
36,Tea,2016-10-30 11:33:08,Morning,Weekend,Neil,2,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness."
36,Bread,2016-10-30 11:33:08,Morning,Weekend,George,5,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
37,Coffee,2016-10-30 11:37:10,Morning,Weekend,Margaret,4,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
37,Bread,2016-10-30 11:37:10,Morning,Weekend,Irene,4,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
38,Bread,2016-10-30 11:42:40,Morning,Weekend,Eddie,2,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
38,Tea,2016-10-30 11:42:40,Morning,Weekend,Stacy,4,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness."
39,Scandinavian,2016-10-30 11:44:31,Morning,Weekend,Nicholas,5,"Reflecting the flavors of Northern Europe, Scandinavian cakes often feature berries, nuts, and wholesome grains."
40,Juice,2016-10-30 11:55:51,Morning,Weekend,Laura,0,Refreshing fruit or vegetable juices served alongside cakes to provide a burst of flavor and hydration.
40,Tartine,2016-10-30 11:55:51,Morning,Weekend,Kyle,2,"Open-faced sandwiches or cakes topped with various spreads, fruits, or vegetables, often served as a light meal or snack."
40,Coffee,2016-10-30 11:55:51,Morning,Weekend,Robin,1,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
40,Muffin,2016-10-30 11:55:51,Morning,Weekend,Evan,0,"Individual-sized quick breads, often sweetened and flavored with fruits, nuts, or chocolate chips."
41,Scandinavian,2016-10-30 11:57:06,Morning,Weekend,Jamie,5,"Reflecting the flavors of Northern Europe, Scandinavian cakes often feature berries, nuts, and wholesome grains."
42,Bread,2016-10-30 11:57:45,Morning,Weekend,Angela,2,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
42,Tea,2016-10-30 11:57:45,Morning,Weekend,Colleen,3,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness."
43,Scandinavian,2016-10-30 12:00:22,Afternoon,Weekend,Raymond,4,"Reflecting the flavors of Northern Europe, Scandinavian cakes often feature berries, nuts, and wholesome grains."
43,Fudge,2016-10-30 12:00:22,Afternoon,Weekend,Rex,5,"Dense, sweet confections made from sugar, butter, and milk or cream, often flavored with chocolate or nuts."
44,Coffee,2016-10-30 12:05:47,Afternoon,Weekend,Paul,3,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
44,Medialuna,2016-10-30 12:05:47,Afternoon,Weekend,Jimmy,1,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed."
45,Coffee,2016-10-30 12:08:36,Afternoon,Weekend,Ellis,5,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
45,Hot chocolate,2016-10-30 12:08:36,Afternoon,Weekend,Andrew,2,"Though not a cake in the traditional sense, hot chocolate complements cakes well, offering a warm and indulgent beverage often topped with whipped cream or marshmallows."
45,Medialuna,2016-10-30 12:08:36,Afternoon,Weekend,Tommy,2,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed."
46,Coffee,2016-10-30 12:09:04,Afternoon,Weekend,Shari,5,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
47,Ella's Kitchen Pouches,2016-10-30 12:15:29,Afternoon,Weekend,Mary,2,"Convenient, portable snacks for infants and toddlers, offering a variety of pureed fruits and vegetables."
47,Juice,2016-10-30 12:15:29,Afternoon,Weekend,Samuel,2,Refreshing fruit or vegetable juices served alongside cakes to provide a burst of flavor and hydration.
47,Bread,2016-10-30 12:15:29,Afternoon,Weekend,Jenny,1,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
47,Muffin,2016-10-30 12:15:29,Afternoon,Weekend,Joshua,4,"Individual-sized quick breads, often sweetened and flavored with fruits, nuts, or chocolate chips."
47,Jam,2016-10-30 12:15:29,Afternoon,Weekend,Janet,2,"A sweet spread made from fruits, commonly used in cake fillings, adding fruity flavors and moisture."
48,Coffee,2016-10-30 12:17:02,Afternoon,Weekend,Joan,1,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
49,Coffee,2016-10-30 12:23:01,Afternoon,Weekend,Eddie,0,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
49,Coffee,2016-10-30 12:23:01,Afternoon,Weekend,Kenneth,5,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
49,Medialuna,2016-10-30 12:23:01,Afternoon,Weekend,Craig,3,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed."
50,Bread,2016-10-30 12:25:11,Afternoon,Weekend,Jeff,1,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
50,Victorian Sponge,2016-10-30 12:25:11,Afternoon,Weekend,Morris,3,A classic British cake consisting of two layers of sponge cake sandwiched together with jam and whipped cream.
51,Bread,2016-10-30 12:26:58,Afternoon,Weekend,Amber,2,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
52,Scandinavian,2016-10-30 12:28:07,Afternoon,Weekend,Edmund,1,"Reflecting the flavors of Northern Europe, Scandinavian cakes often feature berries, nuts, and wholesome grains."
54,Bread,2016-10-30 12:33:08,Afternoon,Weekend,Brett,4,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
55,Frittata,2016-10-30 12:38:06,Afternoon,Weekend,Edmund,0,"Italian egg-based dishes similar to omelets, often filled with vegetables, cheese, and meats."
55,Coffee,2016-10-30 12:38:06,Afternoon,Weekend,Joshua,0,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
55,Tea,2016-10-30 12:38:06,Afternoon,Weekend,Bruce,2,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness."
55,Hearty & Seasonal,2016-10-30 12:38:06,Afternoon,Weekend,Herman,4,"Cakes made with seasonal ingredients and hearty flavors, perfect for cooler weather or holiday celebrations."
56,Coffee,2016-10-30 12:39:27,Afternoon,Weekend,Jonathan,2,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
56,Frittata,2016-10-30 12:39:27,Afternoon,Weekend,Ella,0,"Italian egg-based dishes similar to omelets, often filled with vegetables, cheese, and meats."
57,Scandinavian,2016-10-30 12:45:48,Afternoon,Weekend,Edmund,5,"Reflecting the flavors of Northern Europe, Scandinavian cakes often feature berries, nuts, and wholesome grains."
58,Victorian Sponge,2016-10-30 12:59:29,Afternoon,Weekend,Dorothy,5,A classic British cake consisting of two layers of sponge cake sandwiched together with jam and whipped cream.
58,Hot chocolate,2016-10-30 12:59:29,Afternoon,Weekend,Jerry,2,"Though not a cake in the traditional sense, hot chocolate complements cakes well, offering a warm and indulgent beverage often topped with whipped cream or marshmallows."
58,Tea,2016-10-30 12:59:29,Afternoon,Weekend,Sidney,0,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness."
58,Soup,2016-10-30 12:59:29,Afternoon,Weekend,Alfred,1,"Warm, comforting soups served alongside cakes for a satisfying meal."
59,Tea,2016-10-30 13:02:04,Afternoon,Weekend,Derek,2,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness."
60,Cookies,2016-10-30 13:14:04,Afternoon,Weekend,Evelyn,5,"Bite-sized baked treats with endless variations, from chewy chocolate chip to delicate shortbread."
60,Coffee,2016-10-30 13:14:04,Afternoon,Weekend,Willie,3,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
60,Juice,2016-10-30 13:14:04,Afternoon,Weekend,Albert,1,Refreshing fruit or vegetable juices served alongside cakes to provide a burst of flavor and hydration.
60,Coffee,2016-10-30 13:14:04,Afternoon,Weekend,Randy,2,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
61,Coffee,2016-10-30 13:15:38,Afternoon,Weekend,Matthew,1,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
62,Pick and Mix Bowls,2016-10-30 13:24:00,Afternoon,Weekend,Leonard,3,"Customizable bowls filled with a variety of cake bites, candies, fruits, and toppings, allowing for personalized flavor combinations."
62,Hearty & Seasonal,2016-10-30 13:24:00,Afternoon,Weekend,Stanley,2,"Cakes made with seasonal ingredients and hearty flavors, perfect for cooler weather or holiday celebrations."
62,Hearty & Seasonal,2016-10-30 13:24:00,Afternoon,Weekend,Valerie,4,"Cakes made with seasonal ingredients and hearty flavors, perfect for cooler weather or holiday celebrations."
62,Coffee,2016-10-30 13:24:00,Afternoon,Weekend,Aaron,4,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
62,Smoothies,2016-10-30 13:24:00,Afternoon,Weekend,Eugene,2,"Refreshing blended beverages made from fruits, vegetables, and yogurt or milk, perfect for pairing with cakes for a light meal or snack."
62,Coffee,2016-10-30 13:24:00,Afternoon,Weekend,Susie,0,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
63,Coffee,2016-10-30 13:33:12,Afternoon,Weekend,Ted,0,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
64,Cake,2016-10-30 13:34:07,Afternoon,Weekend,Lloyd,2,"Sweet baked goods made from a mixture of flour, sugar, eggs, and butter or oil, often flavored with extracts, fruits, or spices."
65,Tartine,2016-10-30 13:37:25,Afternoon,Weekend,Cecilia,0,"Open-faced sandwiches or cakes topped with various spreads, fruits, or vegetables, often served as a light meal or snack."
65,Mighty Protein,2016-10-30 13:37:25,Afternoon,Weekend,Brianna,3,Protein-rich cakes or snacks designed to provide sustained energy and muscle recovery.
65,Tea,2016-10-30 13:37:25,Afternoon,Weekend,Agnes,2,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness."
65,Coffee,2016-10-30 13:37:25,Afternoon,Weekend,Sean,1,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
66,Hearty & Seasonal,2016-10-30 13:40:20,Afternoon,Weekend,Diana,3,"Cakes made with seasonal ingredients and hearty flavors, perfect for cooler weather or holiday celebrations."
66,Frittata,2016-10-30 13:40:20,Afternoon,Weekend,Joanne,2,"Italian egg-based dishes similar to omelets, often filled with vegetables, cheese, and meats."
66,Mineral water,2016-10-30 13:40:20,Afternoon,Weekend,Claire,5,A refreshing beverage often served alongside cakes to cleanse the palate and provide hydration.
67,Hearty & Seasonal,2016-10-30 13:46:48,Afternoon,Weekend,Douglas,0,"Cakes made with seasonal ingredients and hearty flavors, perfect for cooler weather or holiday celebrations."
67,Mineral water,2016-10-30 13:46:48,Afternoon,Weekend,June,2,A refreshing beverage often served alongside cakes to cleanse the palate and provide hydration.
67,Muffin,2016-10-30 13:46:48,Afternoon,Weekend,Thomas,2,"Individual-sized quick breads, often sweetened and flavored with fruits, nuts, or chocolate chips."
68,Frittata,2016-10-30 13:49:36,Afternoon,Weekend,Maxwell,2,"Italian egg-based dishes similar to omelets, often filled with vegetables, cheese, and meats."
68,Coffee,2016-10-30 13:49:36,Afternoon,Weekend,Isabelle,5,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
68,Tea,2016-10-30 13:49:36,Afternoon,Weekend,Julie,5,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness."
68,Scandinavian,2016-10-30 13:49:36,Afternoon,Weekend,Corey,2,"Reflecting the flavors of Northern Europe, Scandinavian cakes often feature berries, nuts, and wholesome grains."
68,Chicken sand,2016-10-30 13:49:36,Afternoon,Weekend,Jessica,0,"Sandwiches filled with tender, seasoned chicken and a variety of toppings, perfect for a quick and satisfying meal."
69,Bread,2016-10-30 13:51:49,Afternoon,Weekend,Madeline,0,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
69,Tea,2016-10-30 13:51:49,Afternoon,Weekend,Miguel,4,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness."
69,Victorian Sponge,2016-10-30 13:51:49,Afternoon,Weekend,Lori,0,A classic British cake consisting of two layers of sponge cake sandwiched together with jam and whipped cream.
70,Fudge,2016-10-30 13:54:42,Afternoon,Weekend,Mildred,3,"Dense, sweet confections made from sugar, butter, and milk or cream, often flavored with chocolate or nuts."
71,Muffin,2016-10-30 13:56:08,Afternoon,Weekend,Kenneth,5,"Individual-sized quick breads, often sweetened and flavored with fruits, nuts, or chocolate chips."
72,Coffee,2016-10-30 14:21:38,Afternoon,Weekend,Willie,4,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
72,Bread,2016-10-30 14:21:38,Afternoon,Weekend,Louise,2,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
73,Bread,2016-10-30 14:22:39,Afternoon,Weekend,Steven,4,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
74,Coffee,2016-10-30 14:24:03,Afternoon,Weekend,Alice,4,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
74,Bread,2016-10-30 14:24:03,Afternoon,Weekend,Larry,4,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
75,Jam,2016-10-30 14:32:26,Afternoon,Weekend,Joe,3,"A sweet spread made from fruits, commonly used in cake fillings, adding fruity flavors and moisture."
75,Frittata,2016-10-30 14:32:26,Afternoon,Weekend,Carla,0,"Italian egg-based dishes similar to omelets, often filled with vegetables, cheese, and meats."
76,Coffee,2016-10-30 14:32:49,Afternoon,Weekend,Michael,5,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
77,Scandinavian,2016-10-30 14:35:36,Afternoon,Weekend,Lisa,2,"Reflecting the flavors of Northern Europe, Scandinavian cakes often feature berries, nuts, and wholesome grains."
78,Fudge,2016-10-30 14:42:29,Afternoon,Weekend,Sally,1,"Dense, sweet confections made from sugar, butter, and milk or cream, often flavored with chocolate or nuts."
79,Fudge,2016-10-30 14:45:44,Afternoon,Weekend,Neil,2,"Dense, sweet confections made from sugar, butter, and milk or cream, often flavored with chocolate or nuts."
79,Tea,2016-10-30 14:45:44,Afternoon,Weekend,Jean,0,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness."
79,Coffee,2016-10-30 14:45:44,Afternoon,Weekend,Lynnette,3,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
79,Muffin,2016-10-30 14:45:44,Afternoon,Weekend,Josephine,1,"Individual-sized quick breads, often sweetened and flavored with fruits, nuts, or chocolate chips."
80,Frittata,2016-10-30 14:48:40,Afternoon,Weekend,Cindy,1,"Italian egg-based dishes similar to omelets, often filled with vegetables, cheese, and meats."
80,Bread,2016-10-30 14:48:40,Afternoon,Weekend,Jonathan,4,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
80,Coffee,2016-10-30 14:48:40,Afternoon,Weekend,Johnny,5,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
81,Coffee,2016-10-31 08:28:31,Morning,Weekday,Gabriel,1,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
81,Cake,2016-10-31 08:28:31,Morning,Weekday,Nicole,4,"Sweet baked goods made from a mixture of flour, sugar, eggs, and butter or oil, often flavored with extracts, fruits, or spices."
82,Tartine,2016-10-31 08:47:05,Morning,Weekday,Elizabeth,0,"Open-faced sandwiches or cakes topped with various spreads, fruits, or vegetables, often served as a light meal or snack."
82,Bread,2016-10-31 08:47:05,Morning,Weekday,Heidi,1,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
83,Coffee,2016-10-31 08:57:47,Morning,Weekday,Jimmy,2,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
83,Bread,2016-10-31 08:57:47,Morning,Weekday,Tommy,3,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
84,Bread,2016-10-31 09:04:06,Morning,Weekday,Zach,1,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
85,Coffee,2016-10-31 09:10:09,Morning,Weekday,Lester,1,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
85,Coffee,2016-10-31 09:10:09,Morning,Weekday,Irvin,2,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
85,Pastry,2016-10-31 09:10:09,Morning,Weekday,Jill,4,"Delicate, flaky pastries filled with sweet or savory ingredients, ranging from fruit to cheese and meats."
85,Medialuna,2016-10-31 09:10:09,Morning,Weekday,Floyd,5,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed."
86,Juice,2016-10-31 09:11:08,Morning,Weekday,Natalie,0,Refreshing fruit or vegetable juices served alongside cakes to provide a burst of flavor and hydration.
87,Bread,2016-10-31 09:12:56,Morning,Weekday,Sarah,0,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
88,Coffee,2016-10-31 09:16:01,Morning,Weekday,Cheryl,3,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
